Swimming teams  2017:,City,State,Division,Teams,Men,Women,In-State,Out of State,25%,75%,25%,75%,Rate,
Lock Haven University,Lock Haven,PA,NCAA  II ,,W,"     2,110","     2,407","10,229","19,321",430,530,17,22,92%
Lycoming College,Williamsport,PA,NCAA  III ,M,W,            -  ,            -  ,"37,162","37,162",460,570,20,25,71%
Marywood University,Scranton,PA,NCAA  III ,M,W,            -  ,            -  ,"33,000","33,000",470,560,,,71%
Messiah College,Mechanicsburg,PA,NCAA  III ,M,W,            -  ,            -  ,"33,180","33,180",510,630,21,28,79%
Millersville University ,Millersville,PA,NCAA  II ,,W,"     1,684","     2,156","11,494","20,854",450,550,19,24,73%
Misericordia University,Dallas,PA,NCAA  III ,M,W,            -  ,            -  ,"30,740","30,740",490,570,22,27,71%
Neumann University,Aston,PA,NCAA  III ,,W,,            -  ,"28,580","28,580",410,500,17,21,91%
Penn State - Altoona,Altoona,PA,NCAA  III ,M,W,            -  ,            -  ,"14,828","22,834",450,550,20,24,89%
Penn State - Erie-Behrend College,Erie,PA,NCAA  III ,M,W,            -  ,            -  ,"14,828","22,834",480,610,20,25,87%
Pennsylvania State University,University Park,PA,NCAA  I,M,W,"   22,427","   22,275","17,900","32,382",560,670,25,29,51%
Saint Francis University,Loretto,PA,NCAA  I,,W,"   13,384","   16,308","33,344","33,344",470,590,21,26,74%
Saint Vincent College,Latrobe,PA,NCAA  III ,M,W,            -  ,            -  ,"33,426","33,426",480,580,20,26,70%
Shippensburg University ,Shippensburg,PA,NCAA  II ,M,W,"     2,170","     2,369","11,452","19,542",440,550,18,23,89%
Susquehanna University,Selinsgrove,PA,NCAA  III ,M,W,            -  ,            -  ,"43,720","43,720",,,,,76%
Swarthmore College,Swarthmore,PA,NCAA  III ,M,W,            -  ,            -  ,"49,104","49,104",670,770,30,34,12%
University of Pennsylvania,Philadelphia,PA,NCAA  I,M,W,            -  ,            -  ,"51,464","51,464",700,790,31,34,10%
University of Pittsburgh,Pittsburgh,PA,NCAA  I,M,W,"   27,864","   24,696","18,618","29,758",600,690,26,31,54%
University of Pittsburgh-Bradford,Bradford,PA,NCAA  III ,M,W,            -  ,            -  ,"13,608","24,630",450,530,18,23,63%
University of Scranton,Scranton,PA,NCAA  III ,M,W,            -  ,            -  ,"42,162","42,162",520,620,22,28,72%
Ursinus College,Collegeville,PA,NCAA  III ,M,W,            -  ,            -  ,"49,370","49,370",,,,,83%
Villanova University,Villanova,PA,NCAA  I,M,W,"   20,665","   20,256","49,280","49,280",610,710,29,32,48%
Washington & Jefferson College,Washington,PA,NCAA  III ,M,W,            -  ,            -  ,"44,900","44,900",,,,,43%
West Chester University ,West Chester,PA,NCAA  II ,M,W,"     2,529","     1,874","9,720","20,812",490,580,21,26,59%
Westminster College,New Wilmington,PA,NCAA  III ,M,W,            -  ,            -  ,"35,210","35,210",470,480,20,26,94%
Widener University,Chester,PA,NCAA  III ,M,W,            -  ,            -  ,"42,870","42,870",470,570,21,25,68%
Wilkes University,Wilkes-Barre,PA,NCAA  III ,M,W,            -  ,            -  ,"33,568","33,568",470,598,,,82%
York College Pennsylvania,York,PA,NCAA  III ,M,W,            -  ,            -  ,"18,780","18,780",490,580,20,25,43%
Brown University,Providence,RI,NCAA  I,M,W,            -  ,            -  ,"51,366","51,366",690,780,31,34,9%
Bryant University,Smithfield,RI,NCAA  I,M,W,"   12,671","   14,152","40,962","40,962",,,,,72%
Providence College,Providence,RI,NCAA  I,M,W,"   22,353","   23,784","46,970","46,970",,,,,57%
Rhode Island College,Providence,RI,NCAA  III ,,W,            -  ,            -  ,"8,206","19,867",400,510,16,21,72%
Roger Williams University,Bristol,RI,NCAA  III ,M,W,            -  ,            -  ,"32,100","32,100",,,,,78%
University of Rhode Island,Kingston,RI,NCAA  I,,W,"   17,335","   17,912","12,884","28,874",490,590,22,26,74%
Clemson University,Clemson,SC,NCAA  I,,W,"   30,712","   26,152","14,708","34,590",590,690,27,31,51%
Columbia College,Columbia,SC,NAIA  ,,W,            -  ,"     7,802","28,900","28,900",410,520,18,24,89%
Converse College,Spartanburg,SC,NCAA II,,W,n/a,n/a,"17,000","17,000",440,550,20,25,58%
Limestone College,Gaffney,SC,NCAA  II ,M,W,"     5,897","     9,364","23,900","23,900",410,510,16,21,46%
University of South Carolina,Columbia,SC,NCAA  I,M,W,"   22,165","   19,042","11,454","30,882",560,650,25,30,65%
Augustana University,Sioux Falls,SD,NCAA  II ,,W,"     6,803","   13,822","30,944","30,944",520,660,23,28,65%
Northern State University,Aberdeen,SD,NCAA  II ,,W,"     3,383","     3,427","7,887","10,800",440,550,19,25,72%
South Dakota State University,Brookings,SD,NCAA  I,M,W,"     6,964","     8,709","8,172","11,403",470,600,20,26,92%
University of Sioux Falls,Sioux Falls,SD,NCAA  II ,,W,"     7,474","   11,517","27,160","27,160",440,540,20,25,92%
University of South Dakota,Vermillion,SD,NCAA  I,M,W,"     9,192","   10,638","8,457","11,688",460,610,20,25,74%
Bethel University,McKenzie,TN,NAIA  ,M,W,"   10,800","     7,370","15,764","15,764",390,500,17,22,84%
Carson-Newman University,Jefferson City,TN,NCAA  II ,M,W,"     7,092","     9,610","26,360","26,360",440,550,19,26,59%
King University,Bristol,TN,NCAA  II ,M,W,"     6,486","     7,856","27,276","27,276",410,550,19,25,44%
Milligan College,Johnson City,TN,NAIA  ,M,W,"   11,354","   11,624","31,450","31,450",503,600,22,28,65%
Rhodes College,Memphis,TN,NCAA  III ,M,W,            -  ,            -  ,"44,942","44,942",580,680,27,32,47%
Sewanee-The University of the South,Sewanee,TN,NCAA  III ,M,W,            -  ,            -  ,"42,400","42,400",,,,,41%
University of Tennessee,Knoxville,TN,NCAA  I,M,W,"   27,756","   23,068","12,724","31,144",530,630,24,30,76%
Vanderbilt University,Nashville,TN,NCAA  I,,W,"   49,486","   35,433","45,610","45,610",720,800,32,35,12%
Austin College,Sherman,TX,NCAA  III ,M,W,            -  ,            -  ,"37,315","37,315",540,640,22,28,54%
McMurry University,Abilene,TX,NCAA  III ,M,W,            -  ,            -  ,"26,275","26,275",410,510,16,21,53%
Rice University,Houston,TX,NCAA  I,,W,"   40,728","   34,992","43,918","43,918",710,800,32,35,16%
Southern Methodist University,Dallas,TX,NCAA  I,M,W,"   45,685","   36,105","50,358","50,358",620,720,28,32,49%
Southwestern University,Georgetown,TX,NCAA  III ,M,W,            -  ,            -  ,"39,060","39,060",520,630,23,29,44%
Texas A & M University,College Station,TX,NCAA  I,M,W,"   16,124","   14,594","11,036","31,214",550,670,25,30,67%
Texas Christian University,Fort Worth,TX,NCAA  I,M,W,"   38,438","   30,852","42,670","42,670",550,650,25,30,43%
Trinity University,San Antonio,TX,NCAA  III ,M,W,            -  ,            -  ,"39,560","39,560",580,680,27,32,48%
University of Houston,Houston,TX,NCAA  I,,W,"   18,164","   17,395","9,519","21,711",540,640,23,28,60%
University of North Texas,Denton,TX,NCAA  I,,W,"   15,339","   13,665","10,153","19,945",500,600,21,26,70%
University of Texas ,Austin,TX,NCAA  I,M,W,"   22,996","   14,350","10,092","35,682",600,720,26,32,39%
University of Texas Permian Basin,Odessa,TX,NCAA  II ,M,W,"     2,416","     2,251","5,774","6,958",460,540,18,22,84%
University of the Incarnate Word,San Antonio,TX,NCAA  I,M,W,"   19,650","   21,301","28,898","28,898",430,530,18,23,92%
Brigham Young University,Provo,UT,NCAA  I,M,W,"     9,419","     7,609","5,300","5,300",580,680,27,31,48%
Dixie State University,Saint George,UT,NCAA  II ,,W,"     3,926","     4,592","4,840","13,856",,,,,
University of Utah,Salt Lake City,UT,NCAA  I,M,W,"   23,836","   23,872","8,518","27,039",510,660,21,28,81%
Bridgewater College,Bridgewater,VA,NCAA  III ,M,W,            -  ,            -  ,"32,590","32,590",460,560,20,27,49%
College of William & Mary,Williamsburg,VA,NCAA  I,M,W,"   16,561","   16,523","21,234","42,274",630,730,28,32,34%
Emory & Henry College,Emory,VA,NCAA  III ,M,W,            -  ,            -  ,"33,700","33,700",430,540,18,24,76%
Ferrum College,Ferrum,VA,NCAA  III ,M,W,            -  ,            -  ,"31,915","31,915",380,500,15,21,73%
George Mason University,Fairfax,VA,NCAA  I,M,W,"   10,215","   12,873","11,300","32,582",520,630,23,29,69%
Hampden-Sydney College,Hampden-Sydney,VA,NCAA  III ,M,,            -  ,            -  ,"42,962","42,962",500,610,21,27,55%
Hollins University,Roanoke,VA,NCAA III,,W,            -  ,            -  ,"36,835","36,835",470,580,21,30,61%
James Madison University,Harrisonburg,VA,NCAA  I,,W,"   17,560","   14,800","10,390","26,164",520,610,23,27,73%
Liberty University,Lynchburg,VA,NCAA  I,,W,"   19,689","   17,844","21,292","21,292",460,590,20,27,22%
Marymount University,Arlington,VA,NCAA  III ,M,W,            -  ,            -  ,"29,780","29,780",430,550,19,24,68%
Old Dominion University,Norfolk,VA,NCAA  I,M,W,"   18,876","   15,836","9,750","26,730",460,570,18,24,83%
Randolph College,Lynchburg,VA,NCAA  III ,M,W,,            -  ,"36,770","36,770",450,550,19,24,81%
Randolph-Macon College,Ashland,VA,NCAA  III ,M,W,            -  ,            -  ,"38,730","38,730",500,580,22,27,66%
Roanoke College,Salem,VA,NCAA  III ,M,W,,            -  ,"41,429","41,429",480,590,21,27,72%
Sweet Briar College,Sweet Briar ,VA,NCAA III,,W,            -  ,            -  ,"36,425","36,425",435,575,22,27,95%
University of Mary Washington,Fredericksburg,VA,NCAA  III ,M,W,            -  ,            -  ,"11,630","26,220",490,590,22,27,83%
University of Richmond,Richmond,VA,NCAA  I,,W,"   27,254","   25,438","49,420","49,420",620,720,29,32,31%
University of Virginia,Charlottesville,VA,NCAA  I,M,W,"   24,887","   25,319","16,412","45,756",630,740,29,33,30%
Virginia Military Institute,Lexington,VA,NCAA  I,M,W,"   10,634","     8,943","17,492","41,801",520,610,23,27,53%
Virginia Tech,Blacksburg,VA,NCAA  I,M,W,"   21,365","   21,254","12,852","29,975",560,680,,,73%
Virginia Wesleyan College,Norfolk,VA,NCAA  III ,M,W,,            -  ,"35,610","35,610",430,540,17,26,93%
Washington & Lee University,Lexington,VA,NCAA  III ,M,W,            -  ,            -  ,"48,267","48,267",660,740,30,33,24%
Middlebury College,Middlebury,VT,NCAA  III ,M,W,            -  ,            -  ,"50,063","50,063",640,750,29,33,17%
Norwich University,Northfield,VT,NCAA  III ,M,W,            -  ,            -  ,"37,354","37,354",,,,,57%
Saint Michael's College,Colchester,VT,NCAA  II ,M,W,"     2,810","     2,264","41,975","41,975",,,,,76%
University of Vermont,Burlington,VT,NCAA  I,,W,"   14,561","   15,778","17,300","40,364",550,640,25,30,71%
Pacific Lutheran University,Tacoma,WA,NCAA  III ,M,W,            -  ,            -  ,"39,450","39,450",500,610,22,28,76%
Seattle University,Seattle,WA,NCAA  I,M,W,"   16,577","   14,854","41,265","41,265",530,630,25,29,73%
University of Puget Sound,Tacoma,WA,NCAA  III ,M,W,            -  ,            -  ,"46,552","46,552",,,,,79%
Washington State University,Pullman,WA,NCAA  I,,W,"   21,930","   18,902","11,041","25,673",460,580,20,26,80%
Whitman College,Walla Walla,WA,NCAA  III ,M,W,            -  ,            -  ,"47,862","47,862",600,700,27,32,43%
Whitworth University,Spokane,WA,NCAA  III ,M,W,            -  ,            -  ,"40,562","40,562",,,,,62%
Beloit College,Beloit,WI,NCAA  III ,M,W,            -  ,            -  ,"47,060","47,060",,,,,69%
Carroll University,Waukesha,WI,NCAA  III ,M,W,            -  ,            -  ,"30,388","30,388",480,540,21,26,94%
Carthage College,Kenosha,WI,NCAA  III ,M,W,            -  ,            -  ,"40,265","40,265",500,620,22,28,70%
Lawrence University,Appleton,WI,NCAA  III ,M,W,            -  ,            -  ,"44,844","44,844",,,,,68%
Ripon College,Ripon,WI,NCAA  III ,M,W,            -  ,            -  ,"39,142","39,142",500,620,21,27,66%
University of Wisconsin,Madison,WI,NCAA  I,M,W,"   19,448","   16,933","10,488","32,738",630,750,27,31,58%
University of Wisconsin-Eau Claire,Eau Claire,WI,NCAA  III ,M,W,            -  ,            -  ,"8,812","16,385",,,22,26,85%
University of Wisconsin-Green Bay,Green Bay,WI,NCAA  I,M,W,"     9,971","   10,661","7,878","15,451",,,21,25,85%
University of Wisconsin-La Crosse,La Crosse,WI,NCAA  III ,M,W,            -  ,            -  ,"9,091","17,612",,,23,26,80%
University of Wisconsin-Milwaukee,Milwaukee,WI,NCAA  I,M,W,"   11,163","   12,725","9,493","19,851",,,20,25,86%
University of Wisconsin-Oshkosh,Oshkosh,WI,NCAA  III ,M,W,            -  ,            -  ,"7,544","15,117",,,20,24,81%
University of Wisconsin-Stevens Point,Stevens Point,WI,NCAA  III ,M,W,            -  ,            -  ,"8,159","16,426",,,20,25,90%
University of Wisconsin-Whitewater,Whitewater,WI,NCAA  III ,M,W,            -  ,            -  ,"7,650","16,223",490,590,20,25,80%
Alderson Broaddus University,Philippi,WV,NCAA  II ,M,W,"     3,671","     5,502","25,350","25,350",450,530,19,23,54%
Bethany College,Bethany,WV,NCAA  III ,M,W,            -  ,            -  ,"27,696","27,696",400,510,17,22,70%
Davis & Elkins College,Elkins,WV,NCAA  II ,M,W,"     6,414","     6,410","28,842","28,842",390,520,17,22,59%
Fairmont State University,Fairmont,WV,NCAA  II ,M,W,"     4,462","     4,514","6,950","14,666",410,510,18,23,65%
Marshall University,Huntington,WV,NCAA  I,,W,"   18,021","   15,777","7,154","16,382",430,480,20,25,88%
Salem International University,Salem,WV,NCAA  II ,M,W,"     8,885","   10,659","14,600","14,600",,,,,
West Virginia University,Morgantown,WV,NCAA  I,M,W,"   21,296","   16,540","7,992","22,488",470,580,21,27,86%
West Virginia Wesleyan College,Buckhannon,WV,NCAA  II ,M,W,"     5,693","     4,778","29,752","29,752",420,550,20,25,77%
WVU Institute of Technology,Montgomery,WV,NAIA  ,M,W,"     8,565","     6,171","6,648","16,728",420,560,18,24,61%
University of Wyoming,Laramie,WY,NCAA  I,M,W,"   13,348","   12,592","5,055","16,215",490,620,22,27,96%
,,,,,,,,,,,,,,
