Swimming teams  2017:,City,State,Division,Teams,Men,Women,In-State,Out of State,25%,75%,25%,75%,Rate,
Mount St Mary's University,Emmitsburg,MD,NCAA  I,M,W,"   11,349","   12,530","39,000","39,000",450,560,18,24,67%
Salisbury University,Salisbury,MD,NCAA  III ,M,W,            -  ,            -  ,"9,364","17,776",,,,,61%
St Mary's College of Maryland,St. Mary's City,MD,NCAA  III ,M,W,            -  ,            -  ,"14,192","29,340",500,620,22,28,79%
Stevenson University,Stevenson,MD,NCAA  III ,M,W,            -  ,            -  ,"33,168","33,168",450,560,19,24,60%
Towson University,Towson,MD,NCAA  I,M,W,"   13,819","   13,286","9,408","21,076",500,590,21,25,73%
U.S. Naval Academy,Annapolis,MD,NCAA  I,M,W, full ride! , full ride! ,-0-,-0-,610,700,,,9%
University of Maryland-Baltimore County,Baltimore,MD,NCAA  I,M,W,"   11,281","   15,280","11,264","24,492",570,670,24,29,59%
Washington College,Chestertown,MD,NCAA  III ,M,W,            -  ,            -  ,"43,842","43,842",,,,,54%
Bates College,Lewiston,ME,NCAA  III ,M,W,            -  ,            -  ,"50,310","50,310",,,,,22%
Bowdoin College,Brunswick,ME,NCAA  III ,M,W,            -  ,            -  ,"49,900","49,900",,,,,15%
Colby College,Waterville,ME,NCAA  III ,M,W,            -  ,            -  ,"50,960","50,960",640,740,29,32,23%
Husson University,Bangor,ME,NCAA  III ,M,W,            -  ,            -  ,"17,035","17,035",430,540,18,23,80%
Saint Joseph's College of Maine,Standish,ME,NCAA  III ,M,W,            -  ,            -  ,"33,600","33,600",450,540,21,26,78%
University of Maine,Orono,ME,NCAA  I,M,W,"   15,622","   14,273","10,628","29,498",480,610,21,28,91%
University of New England,Biddeford,ME,NCAA  III ,,W,            -  ,            -  ,"35,630","35,630",480,590,20,29,85%
Albion College,Albion,MI,NCAA  III ,M,W,            -  ,            -  ,"41,040","41,040",440,560,21,27,80%
Alma College,Alma,MI,NCAA  III ,M,W,            -  ,            -  ,"37,310","37,310",510,670,21,27,68%
